,wood and crops in DM,,,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,India,Indonesia,Ireland,Italy,Japan,Latvia,Lithuania,Luxembourg,Malta,Mexico,Netherlands,Norway,Poland,Portugal,Romania,Russia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States,RoW Asia and Pacific,RoW America,RoW Europe,RoW Africa,RoW Middle East
,,,,AU,AT,BE,BR,BG,CA,CN,CY,CZ,DK,EE,FI,FR,DE,GR,HU,IN,ID,IE,IT,JP,LV,LT,LU,MT,MX,NL,NO,PL,PT,RO,RU,SK,SI,ZA,KR,ES,SE,CH,TW,TR,GB,US,WA,WL,WE,WF,WM
Derived calorific values - file: Delivery09 - Energy-Mass-Conversion_v1-AU-1,,,TJ/tonne,nonEU,EU,EU,nonEU,EU,nonEU,nonEU,EU,EU,EU,EU,EU,EU,EU,EU,EU,nonEU,nonEU,EU,EU,nonEU,EU,EU,EU,EU,nonEU,EU,nonEU,EU,EU,EU,nonEU,EU,EU,nonEU,nonEU,EU,EU,nonEU,nonEU,nonEU,EU,nonEU,nonEU,nonEU,nonEU,nonEU,nonEU
,,,,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,People's Republic of China,Cyprus,Belgium,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,India,Indonesia,Ireland,Italy,Japan,Latvia,Lithuania,Luxembourg,Malta,Mexico,Netherlands,Norway,Poland,Portugal,Romania,Russian Federation,Slovak Republic,Slovenia,South Africa,Korea,Spain,Sweden,Switzerland,Chinese Taipei,Turkey,United Kingdom,United States,Rest of World,Rest of World,Rest of World,Rest of World,Rest of World
,,,,AU,AT,BE,BR,BG,CA,CN,CY,CZ,DK,EE,FI,FR,DE,GR,HU,IN,ID,IE,IT,JP,LV,LT,LU,MT,MX,NL,NO,PL,PT,RO,RU,SK,SI,ZA,KR,ES,SE,CH,TW,TR,GB,US,WA,WL,WE,WF,WM
1,Paddy rice,p01.a,C_PARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wheat,p01.b,C_WHEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cereal grains nec,p01.c,C_OCER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Vegetables, fruit, nuts",p01.d,C_FVEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Oil seeds,p01.e,C_OILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Sugar cane, sugar beet",p01.f,C_SUGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Plant-based fibers,p01.g,C_FIBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Crops nec,p01.h,C_OTCR,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
9,Cattle,p01.i,C_CATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pigs,p01.j,C_PIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Poultry,p01.k,C_PLTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Meat animals nec,p01.l,C_OMEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Animal products nec,p01.m,C_OANP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Raw milk,p01.n,C_MILK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Wool, silk-worm cocoons",p01.o,C_WOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Manure (conventional treatment),p01.w.1,C_MANC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Manure (biogas treatment),p01.w.2,C_MANB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Products of forestry, logging and related services (02)",p02,C_FORE,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
19,Fish and other fishing products; services incidental of fishing (05),p05,C_FISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Anthracite,p10.a,C_ANTH,0.026700061,0.032363127,0.025184021,0.027699869,0.023899092,0.027699869,0.020934,0.026885056,0.030000097,0.027509619,0.027509619,0.027509619,0.027509619,0.029030015,0.027509619,0.027509619,0.024848407,0.024848407,0.027841801,0.027509619,0.026362186,0.027509619,0.027509619,0.029300064,0.027509619,0.027699869,0.029300064,0.027509619,0.027509619,0.027653814,0.0255332,0.02899987,0.027130883,0.027509619,0.026885056,0.022821827,0.019554375,0.027509619,0.028100127,0.027423959,0.026885056,0.027509619,0.028753732,0.024848407,0.027699869,0.027509619,0.026885056,0.026885056
21,Coking Coal,p10.b,C_COKC,0.028499966,0.029073139,0.029308019,0.030925029,0.027972848,0.025253389,0.02674486,0.02952723,0.028641732,0.029206027,0.029206027,0.029300064,0.030500001,0.02899987,0.029206027,0.031429889,0.025583094,0.028200191,0.029206027,0.030983995,0.028129853,0.029206027,0.029206027,0.029206027,0.029206027,0.023482924,0.028671206,0.029206027,0.029499664,0.029206027,0.0275005,0.028499966,0.027930143,0.029206027,0.03099488,0.0282609,0.030020193,0.030000097,0.029206027,0.027423959,0.02952723,0.028951307,0.028425845,0.027548975,0.02655378,0.029206027,0.03099488,0.02952723
22,Other Bituminous Coal,p10.c,C_OTBC,0.02813404,0.027928887,0.025781058,0.023865179,0.023850257,0.025513941,0.022230423,0.028360127,0.025512353,0.024509109,0.027156003,0.025199931,0.026000028,0.025663919,0.025742958,0.025710373,0.018913925,0.025799899,0.027838033,0.026587017,0.024800928,0.026219835,0.025119963,0.029300064,0.025932042,0.023482924,0.024736033,0.028100127,0.023008841,0.025451139,0.025932042,0.025475964,0.025145921,0.025394198,0.023596805,0.024911041,0.023113811,0.027400094,0.028100127,0.02738403,0.024191454,0.025136277,0.026914868,0.024596327,0.024287348,0.025932042,0.023596805,0.026275791
23,Sub-Bituminous Coal,p10.d,C_SUBC,0.020589845,0.022200088,0.017921474,0.018344883,0.017921474,0.017798924,0.020605964,0.017999891,0.017921474,0.017921474,0.017921474,0.017921474,0.017921474,0.017921474,0.017921474,0.016619118,0.020605964,0.021999959,0.017921474,0.017921474,0.020605964,0.017921474,0.017921474,0.017921474,0.017921474,0.019404981,0.017921474,0.017921474,0.017921474,0.017921474,0.01871078,0.017921474,0.017921474,0.019067106,0.018821527,0.020934,0.011756116,0.017921474,0.017921474,0.018900053,0.017999891,0.017921474,0.019175638,0.020605964,0.018516263,0.017921474,0.018821527,0.017999891
24,Patent Fuel,p10.e,C_PATF,0.018900471,0.031002835,0.029308019,0.027169448,0.029532012,0.027169448,0.017752032,0.027169448,0.029532012,0.029532012,0.029532012,0.029532012,0.032000131,0.031400163,0.029532012,0.029532012,0.018900471,0.018900471,0.029532012,0.029532012,0.018900471,0.029532012,0.029532012,0.029532012,0.029532012,0.027169448,0.029532012,0.029532012,0.029532012,0.029532012,0.029532012,0.029532012,0.028000062,0.029532012,0.027169448,0.02004891,0.029532012,0.029532012,0.029532012,0.018900471,0.027169448,0.03089984,0.024113037,0.018900471,0.027169448,0.029532012,0.027169448,0.027169448
25,Lignite/Brown Coal,p10.f,C_LIBC,0.009310187,0.009015018,0.008369832,0.012843846,0.006973102,0.014464138,0.010252078,0.011900142,0.012883193,0.011505197,0.00897438,0.011505197,0.017000083,0.009014919,0.00529743,0.007560105,0.009545904,0.011900142,0.019819893,0.010467837,0.010252078,0.011505197,0.011505197,0.011505197,0.011505197,0.014099886,0.019999925,0.011505197,0.008684326,0.011505197,0.007838814,0.014683108,0.011516535,0.011489071,0.011497474,0.010252078,0.006780104,0.011505197,0.020099989,0.010252078,0.007761071,0.011505197,0.013636288,0.010252078,0.013802624,0.011505197,0.011497474,0.009830606
26,BKB/Peat Briquettes,p10.g,C_BKBP,0.021999959,0.019302823,0.020097059,0.01910562,0.018257797,0.01910562,0.020999942,0.01873593,0.023590943,0.018877689,0.015999856,0.018877689,0.018877689,0.01991443,0.014201207,0.019999925,0.019999925,0.020999942,0.018547943,0.018877689,0.020999942,0.018877689,0.015000048,0.020099989,0.018877689,0.01910562,0.018877689,0.018877689,0.017471098,0.018877689,0.018877689,0.017584979,0.023000186,0.018877689,0.01910562,0.020999942,0.018877689,0.020097059,0.018877689,0.020999942,0.01873593,0.018877689,0.018877689,0.020999942,0.01910562,0.018877689,0.01910562,0.01873593
27,Peat,p10.h,C_PEAT,0.010136493,0.008799816,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.009344536,0.010199882,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.008927932,0.010136493,0.010136493,0.010049995,0.011720109,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.009721056,0.009965003,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.01250011,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493,0.010136493
28,"Crude petroleum and services related to crude oil extraction, excluding surveying",p11.a,C_COIL,0.043352915,0.042500207,0.042750159,0.042681077,0.042447839,0.042789933,0.041868,0.041553239,0.04225302,0.043000111,0.042361371,0.0418299,0.041855021,0.042756858,0.041527907,0.041796443,0.042789096,0.042663073,0.042830127,0.041860045,0.042393862,0.042361371,0.042076921,0.042361371,0.042361371,0.043644878,0.042699917,0.042709128,0.042497999,0.042359949,0.040645036,0.042076921,0.04199735,0.042361371,0.04051985,0.042699917,0.042665167,0.042161076,0.043224942,0.042369997,0.041553239,0.043371061,0.04314117,0.04259098,0.043038629,0.042361371,0.04051985,0.041553239
29,"Natural gas and services related to natural gas extraction, excluding surveying",p11.b,C_GASE,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048
30,Natural Gas Liquids,p11.b.1,C_GASL,0.045410033,0.042500207,0.043970297,0.045217021,0.043970297,0.045219952,0.042704941,0.044022607,0.043970297,0.043970297,0.043970297,0.045217021,0.041999884,0.043970297,0.041554827,0.044061856,0.042998017,0.042768162,0.043970297,0.043970297,0.047109036,0.043970297,0.043970297,0.043970297,0.043970297,0.04266098,0.043999919,0.043795184,0.043970297,0.043970297,0.045175991,0.041909868,0.043999919,0.043970297,0.042743041,0.044198038,0.043970297,0.043970297,0.043970297,0.044198038,0.044022607,0.047062981,0.046365901,0.044198038,0.044365984,0.043970297,0.042743041,0.044022607
31,Other Hydrocarbons,p11.c,C_OGPL,0.041857799,0.042005327,0.042005327,0.041868,0.041868,0.041868,0.041857799,0.041857799,0.041868,0.042005327,0.039218174,0.042005327,0.042005327,0.041868,0.042005327,0.03999985,0.041857799,0.041857799,0.042005327,0.042005327,0.041857799,0.041868,0.042005327,0.042005327,0.042005327,0.041868,0.042005327,0.042005327,0.042005327,0.042005327,0.038853923,0.042005327,0.04149998,0.042005327,0.04051985,0.041857799,0.042005327,0.042005327,0.042005327,0.041857799,0.041857799,0.042005327,0.051004016,0.041857799,0.041868,0.042005327,0.04051985,0.041857799
32,Uranium and thorium ores (12),p12,C_ORAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Iron ores,p13.1,C_IRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Copper ores and concentrates,p13.20.11,C_COPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Nickel ores and concentrates,p13.20.12,C_NIKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Aluminium ores and concentrates,p13.20.13,C_ALUO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Precious metal ores and concentrates,p13.20.14,C_PREO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Lead, zinc and tin ores and concentrates",p13.20.15,C_LZTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Other non-ferrous metal ores and concentrates,p13.20.16,C_ONFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Stone,p14.1,C_STON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sand and clay,p14.2,C_SDCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3,C_CHMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Products of meat cattle,p15.a,C_PCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Products of meat pigs,p15.b,C_PPIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Products of meat poultry,p15.c,C_PPLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Meat products nec,p15.d,C_POME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,products of Vegetable oils and fats,p15.e,C_VOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Dairy products,p15.f,C_DAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Processed rice,p15.g,C_RICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sugar,p15.h,C_SUGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Food products nec,p15.i,C_OFOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Beverages,p15.j,C_BEVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Fish products,p15.k,C_FSHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Tobacco products (16),p16,C_TOBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Textiles (17),p17,C_TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Wearing apparel; furs (18),p18,C_GARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Leather and leather products (19),p19,C_LETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20,C_WOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Wood material for treatment, Re-processing of secondary wood material into new wood material",p20.w,C_WOOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Pulp,p21.1,C_PULP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",p21.w.1,C_PAPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Paper and paper products,p21.2,C_PAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Printed matter and recorded media (22),p22,C_MDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Coke Oven Coke,p23.1.a,C_COKE,0.025650012,0.02899987,0.027696101,0.02888892,0.029561243,0.027389208,0.026795939,0.029302157,0.028381089,0.029300064,0.029308019,0.029300064,0.028000062,0.028649854,0.029506892,0.026559906,0.028200191,0.027925747,0.028414105,0.02899987,0.029400128,0.026790077,0.029300064,0.028414105,0.028414105,0.026520866,0.028499966,0.028499966,0.024528408,0.028049885,0.026365829,0.029014943,0.028758716,0.029498099,0.026497839,0.029308019,0.030289823,0.02808003,0.028100127,0.028200191,0.029302157,0.028299837,0.028842028,0.027925747,0.027599665,0.028414105,0.026497839,0.029302157
65,Gas Coke,p23.1.b,C_GCOK,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821,0.028469821
66,Coal Tar,p23.1.c,C_COTA,0.038518979,0.041800174,0.038307077,0.03579714,0.037999815,0.03579714,0.033493981,0.037435372,0.037400341,0.038307077,0.038307077,0.038307077,0.038307077,0.038307077,0.038307077,0.037999815,0.03610152,0.03610152,0.038307077,0.038307077,0.035393114,0.038307077,0.038307077,0.038307077,0.038307077,0.03579714,0.04189982,0.038307077,0.037347874,0.038307077,0.038307077,0.038307077,0.033489795,0.038307077,0.037435372,0.037000008,0.038518979,0.038307077,0.038307077,0.03610152,0.037435372,0.038307077,0.038307077,0.03610152,0.03579714,0.038307077,0.037435372,0.037435372
67,Motor Gasoline,p23.20.a,C_MGSL,0.044599887,0.043999919,0.043999919,0.043543139,0.043999919,0.044800016,0.04312404,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.044800016,0.044800016,0.043999919,0.043999919,0.044599887,0.043999919,0.043999919,0.043999919,0.043999919,0.044800016,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.044045136,0.044599887,0.043999919,0.043999919,0.043999919,0.044800016,0.043999919,0.043999919,0.044800016,0.044474821,0.044381057,0.044026588,0.044045136,0.043999919
68,Aviation Gasoline,p23.20.b,C_AGSL,0.044599887,0.044039923,0.043999919,0.04438008,0.044039923,0.044800016,0.04312404,0.044194799,0.043999919,0.043999919,0.044039923,0.043999919,0.043999919,0.043999919,0.044039923,0.044039923,0.044280958,0.044800016,0.044039923,0.043999919,0.044599887,0.044039923,0.044039923,0.044039923,0.043999919,0.044800016,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.043999919,0.044039923,0.043999919,0.045551965,0.044280958,0.043999919,0.043999919,0.043999919,0.044280958,0.044194799,0.043999919,0.044800016,0.044280958,0.044660037,0.044039923,0.045551965,0.044194799
69,Gasoline Type Jet Fuel,p23.20.c,C_GJET,0.043360092,0.043000111,0.043000111,0.044800016,0.043000111,0.044800016,0.043360092,0.043360092,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043360092,0.043360092,0.043000111,0.043000111,0.043360092,0.043000111,0.043000111,0.043000111,0.043000111,0.044800016,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043360092,0.043360092,0.043000111,0.043000111,0.043000111,0.043360092,0.043360092,0.043000111,0.043000111,0.043360092,0.044800016,0.043000111,0.043360092,0.043360092
70,Kerosene Type Jet Fuel,p23.20.d,C_KJET,0.044499822,0.043000111,0.043000111,0.043543139,0.043000111,0.044599887,0.04312404,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.044599887,0.044599887,0.043000111,0.043000111,0.044499822,0.043000111,0.043000111,0.043000111,0.043000111,0.044599887,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.041072927,0.044499822,0.043000111,0.043000111,0.043000111,0.044599887,0.043000111,0.043000111,0.044599887,0.044346167,0.044247638,0.043053437,0.041072927,0.043000111
71,Kerosene,p23.20.e,C_KERO,0.042900046,0.043000111,0.043000111,0.043543139,0.043030884,0.043800208,0.04312404,0.043000111,0.043000111,0.043000111,0.043030884,0.043000111,0.043000111,0.043000111,0.043000111,0.043030884,0.043800208,0.043800208,0.043000111,0.043000111,0.042900046,0.043000111,0.043030884,0.043000111,0.043000111,0.043800208,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043000111,0.043250063,0.042900046,0.043000111,0.043000111,0.043000111,0.043237433,0.043000111,0.043000111,0.043800208,0.043237433,0.043714518,0.043030884,0.043250063,0.043000111
72,Gas/Diesel Oil,p23.20.f,C_DOIL,0.042599853,0.042599853,0.042599853,0.042267002,0.042599853,0.042599853,0.042704941,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.043299886,0.043299886,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042599853,0.042915119,0.042599853,0.042599853,0.042599853,0.042599853,0.043299886,0.042599853,0.042599853,0.042599853,0.042914879,0.042488902,0.042599853,0.042915119,0.042599853
73,Heavy Fuel Oil,p23.20.g,C_FOIL,0.042599853,0.03999985,0.03999985,0.040150993,0.03999985,0.040199979,0.041868,0.03999985,0.03999985,0.03999985,0.03999985,0.03999985,0.03999985,0.03999985,0.03999985,0.03999985,0.040199979,0.040199979,0.03999985,0.03999985,0.042599853,0.03999985,0.03999985,0.03999985,0.03999985,0.040199979,0.03999985,0.03999985,0.03999985,0.03999985,0.03999985,0.03999985,0.03999985,0.03999985,0.041826132,0.042599853,0.03999985,0.03999985,0.03999985,0.040199979,0.03999985,0.03999985,0.040199979,0.041466785,0.04018365,0.040006521,0.041826132,0.03999985
74,Refinery Gas,p23.20.h,C_RGAS,0.048100052,0.049500118,0.049430114,0.035007928,0.049500118,0.048100052,0.0460548,0.04854097,0.049500118,0.049500118,0.049430114,0.049500118,0.049500118,0.049500118,0.049500118,0.049500118,0.047588739,0.047588739,0.049500118,0.049500118,0.048100052,0.049430114,0.049430114,0.049430114,0.049430114,0.04155399,0.049500118,0.049500118,0.049500118,0.049500118,0.049500118,0.049500118,0.049500118,0.049430114,0.04854097,0.047588739,0.049430114,0.049430114,0.049430114,0.048100052,0.04854097,0.049500118,0.048100052,0.047588739,0.04155399,0.049430114,0.04854097,0.04854097
75,Liquefied Petroleum Gases (LPG),p23.20.i,C_LPGA,0.047699794,0.045999953,0.045999953,0.046473061,0.045999953,0.047299954,0.050242019,0.045999953,0.045999953,0.045999953,0.045999953,0.045999953,0.045999953,0.045999953,0.045999953,0.045999953,0.047299954,0.047299954,0.045999953,0.045999953,0.047699794,0.045999953,0.045999953,0.045999953,0.045999953,0.047299954,0.045999953,0.045999953,0.045999953,0.045999953,0.045999953,0.045999953,0.045999953,0.045999953,0.046766975,0.047699794,0.045999953,0.045999953,0.045999953,0.047299954,0.045999953,0.045999953,0.047299954,0.047891609,0.047024323,0.046043286,0.046766975,0.045999953
